G,Date,Time,Day,School,Opponent,Conf,WinnLoss,Pts,Opp
1,9/1/22,8:00 PM,Thu,Penn State,Purdue,Big Ten,W,35,31
2,9/10/22,12:00 PM,Sat,Penn State,Ohio,MAC,W,46,10
3,9/17/22,3:30 PM,Sat,Penn State,Auburn,SEC,W,41,12
4,9/24/22,12:00 PM,Sat,Penn State,Central Michigan,MAC,W,33,14
5,10/1/22,3:30 PM,Sat,Penn State,Northwestern,Big Ten,W,17,7
6,10/15/22,12:00 PM,Sat,Penn State,Michigan,Big Ten,L,17,41
7,10/22/22,7:30 PM,Sat,Penn State,Minnesota,Big Ten,W,45,17
8,10/29/22,12:00 PM,Sat,Penn State,Ohio State,Big Ten,L,31,44
9,11/5/22,3:30 PM,Sat,Penn State,Indiana,Big Ten,W,45,14
10,11/12/22,3:30 PM,Sat,Penn State,Maryland,Big Ten,W,30,0
11,11/19/22,3:30 PM,Sat,Penn State,Rutgers,Big Ten,W,55,10
12,11/26/22,4:00 PM,Sat,Penn State,Michigan State,Big Ten,W,35,16
13,1/2/23,5:00 PM,Mon,Penn State,Utah,Pac-12,W,35,21
14,9/2/23,,Sat,Penn State,West Virginia,,,,
