President,Rank,No.,Height (in),Height (cm),When,Color,Facial Hair
Abraham Lincoln,1,16,6 ft 4 in,193,1860,Black,Yes
Andrew Jackson,10,7,6 ft 1 in,185,,,No
Andrew Johnson,28,17,5 ft 10 in,178,,,No
Barack Obama,9,44,"6 ft 1+1, 2 in",187,,,No
Benjamin Harrison,43,23,5 ft 6 in,168,1849,Brown,Yes
Bill Clinton,4,42,"6 ft 2+1, 2 in",189,,,No
Calvin Coolidge,28,30,5 ft 10 in,178,,,No
Chester A. Arthur,6,21,6 ft 2 in,188,1847,Brown,Yes
Dold Trump,3,45,6 ft 3 in,191,,,No
Dwight D. Eisenhower,27,34,"5 ft 10+1, 2 in",179,,,No
Franklin D. Roosevelt,6,32,6 ft 2 in,188,,,No
Franklin Pierce,28,14,5 ft 10 in,178,,,No
George H. W. Bush,6,41,6 ft 2 in,188,,,No
George W. Bush,20,43,"5 ft 11+1, 2 in",182,,,No
George Washington,13,1,6 ft 0 in,183,,,No
Gerald Ford,13,38,6 ft 0 in,183,,Blond,Yes
Grover Cleveland,25,"22, 24",5 ft 11 in,180,1859,Brown,Yes
Harry S. Truman,33,33,5 ft 9 in,175,1948,Gray,Yes
Herbert Hoover,20,31,"5 ft 11+1, 2 in",182,,,No
James A. Garfield,13,20,6 ft 0 in,183,1850,Light brown,Yes
James Buchan,13,15,6 ft 0 in,183,,,No
James K. Polk,36,11,5 ft 8 in,173,,,No
James Madison,45,4,5 ft 4 in,163,,,No
James Monroe,13,5,6 ft 0 in,183,,,No
Jimmy Carter,32,39,"5 ft 9+1, 2 in",177,,Blond,Yes
Joe Biden,20,46,"5 ft 11+1, 2 in",182,,,No
John Adams,41,2,5 ft 7 in,170,,,No
John F. Kennedy,10,35,6 ft 1 in,185,,,No
John Quincy Adams,40,6,"5 ft 7+1, 2 in",171,1811,Black,Yes
John Tyler,13,10,6 ft 0 in,183,,,No
Lyndon B. Johnson,2,36,"6 ft 3+1, 2 in",192,,,No
Martin Van Buren,43,8,5 ft 6 in,168,1807,White,Yes
Millard Fillmore,33,13,5 ft 9 in,175,,,No
Richard Nixon,20,37,"5 ft 11+1, 2 in",182,,,No
Rold Reagan,10,40,6 ft 1 in,185,,,No
Rutherford B. Hayes,35,19,"5 ft 8+1, 2 in",174,1854,Black,Yes
Theodore Roosevelt,28,26,5 ft 10 in,178,1880,Brown,Yes
Thomas Jefferson,4,3,"6 ft 2+1, 2 in",189,,,No
Ulysses S. Grant,36,18,5 ft 8 in,173,1852,Brown,Yes
Warren G. Harding,13,29,6 ft 0 in,183,,,No
William Henry Harrison,36,9,5 ft 8 in,173,,,No
William Howard Taft,20,27,"5 ft 11+1, 2 in",182,1880s,Brown,Yes
William McKinley,41,25,5 ft 7 in,170,,,No
Woodrow Wilson,25,28,5 ft 11 in,180,,,No
Zachary Taylor,36,12,5 ft 8 in,173,1815,Gray,Yes
